date,min,max,median,q1,q3,stdev,count
2023-04-02T00:00:00.000Z,8.7,44.2,19.3,17.3,25.55,7.167,637
2023-04-03T00:00:00.000Z,9.6,123.5,24.45,18.5,35.1,15.168,654
2023-04-04T00:00:00.000Z,5.6,86.6,11.2,8.4,33.7,19.375,634
2023-04-05T00:00:00.000Z,0.9,32.3,5.6,4.3,9.5,4.714,633
2023-04-06T00:00:00.000Z,2.9,32.5,7.4,5.55,16.85,8.488,652
2023-04-07T00:00:00.000Z,2.8,22,7.5,5.4,13,4.904,651
2023-04-08T00:00:00.000Z,12.5,97,23.8,19.1,25.9,6.558,660
2023-04-09T00:00:00.000Z,30.9,69.2,39.29,34.7,50.2,9.031,635
2023-04-10T00:00:00.000Z,32.4,78.3,41.85,36.4,44.4,9.266,628
2023-04-11T00:00:00.000Z,30.5,47.5,36,33.7,37.9,2.945,601
2023-04-12T00:00:00.000Z,33.1,51.9,38.6,36,42.8,5.137,643
2023-04-13T00:00:00.000Z,34.8,51.2,42.7,38.4,45.7,4.478,631
2023-04-14T00:00:00.000Z,34.8,64.7,42.3,40.9,46.35,5.553,649
2023-04-15T00:00:00.000Z,7.9,67.5,46.7,42.1,54.8,12.783,663
2023-04-16T00:00:00.000Z,31.6,62.4,43.2,40.4,47.9,5.321,638
2023-04-17T00:00:00.000Z,34.5,45.4,37.8,36.3,39.5,2.298,631
2023-04-18T00:00:00.000Z,28.9,44.7,35.4,33.4,37.1,2.867,655
2023-04-19T00:00:00.000Z,34.6,47.2,41.6,39.7,43.6,2.715,655
2023-04-20T00:00:00.000Z,36.6,49.1,43.9,42.9,45.1,1.818,612
2023-04-21T00:00:00.000Z,34.7,46,41,38.4,43.3,2.734,631
2023-04-22T00:00:00.000Z,28.9,56.9,34.6,32.6,37.6,3.888,645
2023-04-23T00:00:00.000Z,11.7,41.8,24.3,20.4,27.9,6.567,670
2023-04-24T00:00:00.000Z,11.5,39.5,21.75,16.3,28.8,7.178,652
2023-04-25T00:00:00.000Z,19,60.5,31,26.2,33.3,6.859,637
2023-04-26T00:00:00.000Z,25,54.4,33,29.4,43.1,7.615,635
2023-04-27T00:00:00.000Z,20.1,53,30.3,28.5,36.8,7.644,606
2023-04-28T00:00:00.000Z,20.1,40.3,29.6,27.3,32.5,4.056,615
2023-04-29T00:00:00.000Z,20.2,36.2,30,27.4,31.7,3.402,650
2023-04-30T00:00:00.000Z,16.5,38.2,28.3,22.7,33.5,6.011,647
2023-05-01T00:00:00.000Z,15,41.4,24.1,21.5,26.3,4.408,651
2023-05-02T00:00:00.000Z,11.6,33.1,18.95,17.4,24.4,4.846,658
2023-05-03T00:00:00.000Z,10.1,596.2,18.2,16.4,20,38.188,647
2023-05-04T00:00:00.000Z,7.6,33.9,18.7,16.8,20.3,3.521,638
2023-05-05T00:00:00.000Z,17.8,46.3,35.4,30.7,40.3,6.189,635
2023-05-06T00:00:00.000Z,18.4,41,30.2,26.2,33.4,5.111,610
2023-05-07T00:00:00.000Z,22.3,36.3,27.7,25.5,30.8,3.244,649
2023-05-15T00:00:00.000Z,5.4,60.5,18.8,15.6,23.8,10.07,636
2023-05-16T00:00:00.000Z,1.2,42.1,31,27.3,33.7,7.662,628
2023-05-17T00:00:00.000Z,30.6,47.3,36.5,33.6,38.6,3.319,620
2023-05-18T00:00:00.000Z,15.2,42.9,32,26.5,33.65,6.172,624
2023-05-19T00:00:00.000Z,22.5,45.2,34.54,32.1,36.5,3.601,604
2023-05-20T00:00:00.000Z,31.2,47.3,39.4,37.9,41.7,2.903,184
2023-05-23T00:00:00.000Z,15.6,35,27.6,20.8,31,5.365,510
2023-05-24T00:00:00.000Z,17.7,39.3,25.7,23.1,31.7,4.991,658
2023-05-25T00:00:00.000Z,18.8,51.1,25.4,22.5,30.5,5.314,670
2023-05-26T00:00:00.000Z,6.6,80.3,34.15,28.8,58,17.351,650
2023-05-27T00:00:00.000Z,7.7,81.3,40.9,25,46,13.236,583
2023-05-28T00:00:00.000Z,12.1,65.2,28.2,23.8,38.3,11.724,639
2023-05-29T00:00:00.000Z,17.6,39.9,23.7,22.1,26.1,4.286,670
2023-05-30T00:00:00.000Z,12.3,40.9,19.7,17.7,25.2,5.877,658
2023-05-31T00:00:00.000Z,9.7,36.8,23.3,18.2,26.5,5.417,642
2023-06-01T00:00:00.000Z,8.3,37.9,15.7,12.3,25.65,7.698,660
2023-06-02T00:00:00.000Z,10.3,53,20.8,18.5,32.6,11.465,577
2023-06-03T00:00:00.000Z,7.5,49.1,14.8,12.7,22.9,8.953,635
2023-06-04T00:00:00.000Z,2.5,53.3,13.8,10.3,20.7,9.888,641
2023-06-05T00:00:00.000Z,2.6,56.8,28.35,18.6,37.65,12.584,652
2023-06-06T00:00:00.000Z,4.6,55.6,22.75,17.5,29.7,8.886,646
2023-06-07T00:00:00.000Z,12.3,37.7,20.9,17,29.3,6.727,635
2023-06-08T00:00:00.000Z,6.3,44.5,16.1,11.3,20.6,8.069,638
2023-06-09T00:00:00.000Z,10,234.3,23.5,16.4,33.5,13.131,622
2023-06-10T00:00:00.000Z,4,30.7,15.7,12.5,19.6,4.731,665
2023-06-11T00:00:00.000Z,2.2,56.7,14.1,7.1,17.8,6.241,632
2023-06-12T00:00:00.000Z,8.2,44.4,18.1,15,23.4,6.865,648
2023-06-13T00:00:00.000Z,8.7,55.5,24.4,19.89,36.3,10.064,647
2023-06-14T00:00:00.000Z,13.9,52.2,33.5,23.6,40.4,9.392,623
2023-06-15T00:00:00.000Z,5.5,39,24.2,14.9,29.7,8.928,638
2023-06-16T00:00:00.000Z,7.3,51.7,27.4,18.35,31.2,9.577,656
2023-06-17T00:00:00.000Z,8.4,163.2,22.75,16.1,28.3,9.289,642
2023-06-18T00:00:00.000Z,6.8,132.5,19.64,15.1,25.7,10.346,628
2023-06-19T00:00:00.000Z,11.9,50.6,23.4,19.3,31.4,8.805,663
2023-06-20T00:00:00.000Z,6.7,56.3,27.4,17.2,35.04,10.681,644
2023-06-21T00:00:00.000Z,14.1,37.7,24.5,20.5,29.3,5.369,650
2023-06-22T00:00:00.000Z,0,55.1,19.1,11.25,29,13.355,649
2023-06-23T00:00:00.000Z,9,78.1,28.5,21.4,33.9,11.994,639
2023-06-24T00:00:00.000Z,11.7,81.1,29.8,21.3,45.85,13.629,665
2023-06-25T00:00:00.000Z,6.3,42.7,21.6,14.55,27.8,8.446,620
2023-06-26T00:00:00.000Z,10.3,50.2,23,18.2,32,8.209,655
2023-06-27T00:00:00.000Z,10.4,55.3,29.5,16.9,38.7,12.023,663
2023-06-28T00:00:00.000Z,9.9,54.5,19.7,15.1,29.2,8.897,663
2023-06-29T00:00:00.000Z,0.9,50.4,26.9,15,35.1,11.873,612
2023-06-30T00:00:00.000Z,9.2,64.2,31.7,19.7,45.5,14.007,652
2023-07-01T00:00:00.000Z,2.3,188.4,18.05,7.5,24.9,13.524,638
2023-07-02T00:00:00.000Z,1.4,44.5,20.1,13.7,28.05,11.65,637
2023-07-03T00:00:00.000Z,2.7,44.6,16.1,9.5,23.7,9.331,646
2023-07-04T00:00:00.000Z,9.4,62.4,31,20.9,34.6,9.792,620
2023-07-05T00:00:00.000Z,7.3,104.5,31.9,25.4,41.4,17.543,643
2023-07-06T00:00:00.000Z,30.9,91,46.9,40.4,55.2,10.549,667
2023-07-07T00:00:00.000Z,3.4,67.3,9.5,6.4,23.75,16.082,601
2023-07-08T00:00:00.000Z,2.1,127.1,11.6,8.25,18.7,11.604,640
2023-07-09T00:00:00.000Z,6,79,32.04,14.3,51.6,20.604,650
2023-07-10T00:00:00.000Z,13.8,87,25.7,20.6,35.9,15.679,604
2023-07-11T00:00:00.000Z,7.3,65.7,19.89,12.6,28.85,11.29,653
2023-07-12T00:00:00.000Z,9.5,60.7,38,31.4,45.35,12.172,648
2023-07-13T00:00:00.000Z,0.8,61.6,22.05,14.8,33.75,13.292,608
2023-07-14T00:00:00.000Z,7,63.5,23.1,13.45,44.15,15.963,676
2023-07-15T00:00:00.000Z,7.5,92.4,24.9,15.15,34.04,14.228,641
2023-07-16T00:00:00.000Z,2.4,31.5,11.05,9.5,13.65,4.127,640
2023-07-17T00:00:00.000Z,2.2,32.2,9.4,6.2,13.5,6.786,627
2023-07-18T00:00:00.000Z,2.9,33.2,10.4,7.2,14.6,5.314,621
2023-07-19T00:00:00.000Z,5.3,44,13.75,9.4,22.7,8.544,642
2023-07-20T00:00:00.000Z,6.2,51.7,19.8,13.3,31.1,11.494,626
2023-07-21T00:00:00.000Z,7.4,55.5,32.7,14.9,40.9,14.025,639
2023-07-22T00:00:00.000Z,2.6,92.6,14.35,8.8,31.7,16.581,632
2023-07-23T00:00:00.000Z,2.3,28.6,11.2,9.3,14.6,4.248,653
2023-07-24T00:00:00.000Z,2.3,36.9,16.3,11.7,19.5,5.676,631
2023-07-25T00:00:00.000Z,4.6,54.8,17.2,11.2,25.7,10.866,602
2023-07-26T00:00:00.000Z,6.1,55.8,23.05,13.8,33.2,11.642,622
2023-07-27T00:00:00.000Z,7.1,45.2,17.39,12.8,24.6,8.532,632
2023-07-28T00:00:00.000Z,1.9,48.8,17.8,9.5,29.2,11.199,617
2023-07-29T00:00:00.000Z,6.1,29.7,11.95,10.7,14.4,3.317,626
2023-07-30T00:00:00.000Z,7.8,36.3,22.7,16,27,6.551,632
2023-07-31T00:00:00.000Z,6.8,68.7,20,13.7,31.15,10.907,661
2023-08-01T00:00:00.000Z,11.6,77.5,28.75,17.4,35,11.454,650
2023-08-02T00:00:00.000Z,9.2,51.2,20.1,15,27.75,9.525,649
2023-08-03T00:00:00.000Z,9,32.3,19.2,14.7,24,5.42,629
2023-08-04T00:00:00.000Z,7.7,31,22.7,20.4,25.4,4.133,640
2023-08-05T00:00:00.000Z,11.9,69.4,23.9,19.6,28.9,7.93,630
2023-08-06T00:00:00.000Z,11.6,29.5,19.05,17.3,22.1,3.611,626
2023-08-07T00:00:00.000Z,8.1,41.4,20.7,15.7,28.2,8.31,636
2023-08-08T00:00:00.000Z,7.5,45.1,19,14.5,22.7,6.66,605
2023-08-09T00:00:00.000Z,6.7,48.4,19.2,11.45,29.4,10.835,648
2023-08-10T00:00:00.000Z,7.5,56.8,16.1,11.35,29.4,9.846,633
2023-08-11T00:00:00.000Z,5.2,44.1,11.65,8.9,22,9.345,650
2023-08-12T00:00:00.000Z,6.7,45.9,11.9,9.8,16,7.152,661
2023-08-13T00:00:00.000Z,4.7,33.9,11.85,10.1,14.9,4.591,670
2023-08-14T00:00:00.000Z,5.1,35.9,13.35,10,19.1,6.424,662
2023-08-15T00:00:00.000Z,5.4,23.4,10.19,8.6,12.45,3.139,649
2023-08-16T00:00:00.000Z,6.3,42.8,16.8,13.4,20.65,7.004,624
2023-08-17T00:00:00.000Z,6.4,73.6,31.65,16.8,40.79,14.738,650
2023-08-18T00:00:00.000Z,11,53.1,23.4,19.9,30.5,8.109,641
2023-08-19T00:00:00.000Z,12.1,50.1,24.3,19.3,31.6,9.127,664
2023-08-20T00:00:00.000Z,4.7,28.5,12.1,7.6,17.3,5.618,631
2023-08-21T00:00:00.000Z,10.4,33.1,19.2,16,24.2,5.455,616
2023-08-22T00:00:00.000Z,9.1,50.9,25.2,21.1,30.3,7.846,631
2023-08-23T00:00:00.000Z,8.4,43.3,17.8,14.5,24.75,7.967,636
2023-08-24T00:00:00.000Z,9.6,49,26.6,20.3,33.2,8.514,619
2023-08-25T00:00:00.000Z,8.5,47.2,16.6,12.3,25.7,9.611,625
2023-08-26T00:00:00.000Z,7.9,79.6,20.9,15,27.2,8.94,624
2023-08-27T00:00:00.000Z,3.2,38.4,12.4,7.2,20.2,8.503,643
2023-08-28T00:00:00.000Z,8.1,37.4,14.6,11.9,19.1,6.49,631
2023-08-29T00:00:00.000Z,2.5,52.3,18.7,11.7,31.5,10.87,651
2023-08-30T00:00:00.000Z,7.7,93.9,32.3,21,44.8,16.822,658
2023-08-31T00:00:00.000Z,4.6,53.3,18.9,13.1,29.6,10.983,630
2023-09-01T00:00:00.000Z,2.8,44,12.9,8.2,23.6,10.172,665
2023-09-02T00:00:00.000Z,3,33.3,7.9,5.7,13.9,7.027,637
2023-09-03T00:00:00.000Z,3.3,53.3,9.3,6.2,26.55,13.125,613
2023-09-04T00:00:00.000Z,1.8,37.8,8.4,6.5,11.4,7.291,658
2023-09-05T00:00:00.000Z,2.5,54.3,20.25,10,26.95,11.534,636
2023-09-06T00:00:00.000Z,6.2,78.4,25.95,19,35.7,13.263,650
2023-09-07T00:00:00.000Z,11.2,93.3,28.3,20.35,38.75,16.74,617
2023-09-08T00:00:00.000Z,3.1,63.2,27.45,21.8,43.8,13.724,666
2023-09-09T00:00:00.000Z,4.5,66.7,14.15,10.6,20.8,9.257,614
2023-09-10T00:00:00.000Z,2.9,28.1,9.3,7,13.2,5.009,643
2023-09-18T00:00:00.000Z,5.4,53.8,32.9,18.2,41.9,12.374,650
2023-09-19T00:00:00.000Z,4.2,56.6,32.1,19.3,40.5,11.891,635
2023-09-20T00:00:00.000Z,4,50.9,24.3,16,36.79,12.239,616
2023-09-21T00:00:00.000Z,9.3,92.6,37.9,31.7,46.25,16.201,633
2023-09-22T00:00:00.000Z,13.7,91.2,46.35,32.6,54.2,15.577,666
2023-09-23T00:00:00.000Z,10.8,91.2,29.3,22.3,39.6,14.49,609
2023-09-24T00:00:00.000Z,2.6,71.7,15,11.1,19.8,8.693,602
2023-09-25T00:00:00.000Z,2.8,36,8.9,7.2,12.4,6.967,629
2023-09-26T00:00:00.000Z,3.6,35.4,9.9,7.55,13.5,5.666,645
2023-09-27T00:00:00.000Z,3.2,52.7,23.85,12.5,32.6,12.199,642
2023-09-28T00:00:00.000Z,5.9,131.3,35.5,19.55,44.6,27.221,653
2023-09-29T00:00:00.000Z,6,132.4,19.2,14.5,30.4,19.234,627
2023-09-30T00:00:00.000Z,7.8,64.9,31,16.6,37.1,12.84,631
2023-10-01T00:00:00.000Z,1.7,47.1,28.4,24,33.8,8.586,602
2023-10-02T00:00:00.000Z,1.8,79,23.7,14.7,39.2,16.717,671
2023-10-03T00:00:00.000Z,3.7,43,12.9,9.7,17.5,7.665,653
2023-10-04T00:00:00.000Z,3.6,26.9,9.4,7.7,15,4.885,637
2023-10-05T00:00:00.000Z,3,37.3,14.4,12.1,19.2,5.939,637
2023-10-06T00:00:00.000Z,7.1,55.9,28,17,46.3,14.298,614
2023-10-07T00:00:00.000Z,8.1,93.7,24.9,16,35.2,11.979,631
2023-10-08T00:00:00.000Z,4.6,47.4,14.1,10.5,29.3,10.943,643
2023-10-09T00:00:00.000Z,6.5,52.9,27,15.7,43.2,13.881,651
2023-10-10T00:00:00.000Z,5.9,154.2,29.7,24.3,69.75,33.781,649
2023-10-11T00:00:00.000Z,7.9,147.7,17.4,12,27.7,26.108,639
2023-10-12T00:00:00.000Z,11.7,156,39.9,33.9,47,30.718,629
2023-10-13T00:00:00.000Z,18.3,148.1,50.1,33.2,66.4,25.223,649
2023-10-14T00:00:00.000Z,39.5,80.2,51.3,47.5,56.6,7.741,52
2023-10-16T00:00:00.000Z,18.6,18.6,18.6,18.6,18.6,0,1
2023-10-27T00:00:00.000Z,44.6,44.6,44.6,44.6,44.6,0,1
